Statistic,Quarter,Dwelling Status,UNIT,VALUE
Residential Property Price Index,2010Q1,All Dwelling Statuses,Base 2015=100,111.5
Residential Property Price Index,2010Q1,New,Base 2015=100,123.9
Residential Property Price Index,2010Q1,Existing,Base 2015=100,109.8
Residential Property Price Index,2010Q2,All Dwelling Statuses,Base 2015=100,107.7
Residential Property Price Index,2010Q2,New,Base 2015=100,119.6
Residential Property Price Index,2010Q2,Existing,Base 2015=100,106.1
Residential Property Price Index,2010Q3,All Dwelling Statuses,Base 2015=100,104.6
Residential Property Price Index,2010Q3,New,Base 2015=100,115.1
Residential Property Price Index,2010Q3,Existing,Base 2015=100,103.4
Residential Property Price Index,2010Q4,All Dwelling Statuses,Base 2015=100,100
Residential Property Price Index,2010Q4,New,Base 2015=100,109.7
Residential Property Price Index,2010Q4,Existing,Base 2015=100,99
Residential Property Price Index,2011Q1,All Dwelling Statuses,Base 2015=100,95.4
Residential Property Price Index,2011Q1,New,Base 2015=100,105.6
Residential Property Price Index,2011Q1,Existing,Base 2015=100,94.2
Residential Property Price Index,2011Q2,All Dwelling Statuses,Base 2015=100,90.5
Residential Property Price Index,2011Q2,New,Base 2015=100,101
Residential Property Price Index,2011Q2,Existing,Base 2015=100,89.1
Residential Property Price Index,2011Q3,All Dwelling Statuses,Base 2015=100,85.1
Residential Property Price Index,2011Q3,New,Base 2015=100,95.1
Residential Property Price Index,2011Q3,Existing,Base 2015=100,83.8
Residential Property Price Index,2011Q4,All Dwelling Statuses,Base 2015=100,80.4
Residential Property Price Index,2011Q4,New,Base 2015=100,89.2
Residential Property Price Index,2011Q4,Existing,Base 2015=100,79.3
Residential Property Price Index,2012Q1,All Dwelling Statuses,Base 2015=100,76.8
Residential Property Price Index,2012Q1,New,Base 2015=100,86.9
Residential Property Price Index,2012Q1,Existing,Base 2015=100,75.4
Residential Property Price Index,2012Q2,All Dwelling Statuses,Base 2015=100,75
Residential Property Price Index,2012Q2,New,Base 2015=100,86.3
Residential Property Price Index,2012Q2,Existing,Base 2015=100,73.5
Residential Property Price Index,2012Q3,All Dwelling Statuses,Base 2015=100,75.9
Residential Property Price Index,2012Q3,New,Base 2015=100,84.9
Residential Property Price Index,2012Q3,Existing,Base 2015=100,74.7
Residential Property Price Index,2012Q4,All Dwelling Statuses,Base 2015=100,76.5
Residential Property Price Index,2012Q4,New,Base 2015=100,83.1
Residential Property Price Index,2012Q4,Existing,Base 2015=100,75.7
Residential Property Price Index,2013Q1,All Dwelling Statuses,Base 2015=100,74.3
