id,sold_price,predicted_price
432259,165000,177465.053375
679044,547577,532782.27840625
1322973,443750,458584.8030625
28508,417000,416645.35318750003
148784,250000,225644.18625
735717,665000,661400.8826250001
508706,370000,358836.30574999994
1610739,250000,252294.97118750002
61576,325000,323989.22278125
99670,290000,289113.94125
1375886,475000,475712.482
1405990,80000,80353.71190625
1877750,252500,208898.76637499998
179923,643500,646842.124375
1561874,235000,236536.181
827710,250000,295999.4715
972391,229000,245004.555
1497827,660000,633232.4090625
843863,194800,225716.6611875
260069,220000,226912.30737499997
185599,463000,473832.87453125004
1269247,168000,158632.5234375
979846,388000,384560.247125
615269,340000,416677.44299999997
156176,280000,281379.70931249997
1535023,255000,254328.787453125
65264,285000,269268.757125
660521,520000,535427.761875
256460,294118,251886.206875
1425844,195000,190982.37775
653353,485000,499670.89249999996
308281,250000,246884.34312499998
988250,325000,342082.3575
1719097,510000,522141.19281250006
911230,490000,479693.50800000003
995039,290000,286573.85643750004
1409611,482863,481114.0757500001
904183,255000,252623.099546875
1869640,270000,269643.51075
1646828,335000,336448.04643750004
1801410,250000,243774.1345
1893610,450000,462733.27343750006
172749,225000,211078.22315625002
1102541,415000,417813.01375
450186,227500,229094.685234375
1494237,255000,255544.61981249996
827471,349000,346900.6115625
591501,100000,104636.555
1527445,290000,282670.71
1490597,312000,264250.393453125
484855,265000,212585.05518750002
870424,285000,259399.12542187504
310285,500000,227754.90412500003
1406434,564000,621695.7435
461745,750000,758048.686625
987716,450000,470775.92921875
1706702,141250,138558.9761171875
1718826,675000,678490.3828125
1908875,640000,638667.09725
1805237,497000,502682.5708125
1140473,310000,297833.38325
1696506,485000,476491.92678125
660050,294000,296681.0625
1643162,855500,534884.3558125
279832,121110,131682.43921875
1412411,357000,356004.57343750005
1930947,390000,390763.7668125
1862099,220000,216478.7371875
1376232,400000,383590.43109375
1253713,200000,196422.75975
849196,348458,349201.21396875003
196439,202000,193064.8424375
180535,610200,608918.2525
752212,230000,337471.745625
1519747,650000,655314.89925
858503,375000,387440.613125
1642765,160000,163335.59534375
1520580,345000,312287.61890625005
104331,360000,367056.00325
832037,410000,391442.19606249995
65421,260000,260708.036625
1086560,200000,201999.257890625
806559,206390,220245.96615625
1117672,260000,247726.62634375
424525,345000,310704.585625
1618227,340000,313837.5441875
728415,165000,175560.42004687502
1828,220000,218213.7915
1307930,446350,441946.97437500005
588548,128000,124469.39776562499
1067340,207000,187931.924296875
1794401,225000,226744.49671875
1213888,365000,378682.62928125
740459,229500,229051.268015625
1689205,103000,107161.54225
625665,246000,238432.6228125
1627319,150000,202595.394375
51086,100000,97925.46734375002
271365,335000,336724.499625
470430,805000,803793.3243750001
545853,480000,428081.1993125
1327619,1200000,1202439.819125
233654,152000,160242.89831249998
1292119,380000,387443.272125
1703014,700000,722360.2396874999
1939460,167500,171391.192875
1944544,200000,191016.10603125
233537,220000,226605.661140625
1002721,525000,522952.203375
846535,726785,791235.305625
1452492,500000,503860.8555
1318312,572467,571206.4571250001
1237531,384200,382121.2629375
1809228,335000,329072.209125
142045,230000,225081.07125
820217,250000,236700.71140625
1559118,167000,160207.45200000002
1087134,755000,770119.0125
573793,240000,231027.90740625001
881500,3730000,3730981.93
841521,377000,365212.86165625
1791708,125000,137339.974078125
569462,390000,369580.07975
838984,223500,218358.86049999998
603604,320000,329641.5294375
1566710,280000,283793.29571875
1103406,515000,519940.69875
1802460,150000,135905.44203125
80224,109000,105562.66284375002
241503,173000,206247.04218750002
1360307,257000,257341.74609375
732032,250000,253414.39335937498
1635833,355000,357153.52475
1647001,135000,144141.04309375
863652,500000,431629.13671875
1449324,405000,406424.23828125
218495,150000,152139.02695312502
126761,658000,670912.715875
1725862,130000,132107.72859374998
1247205,170000,183318.1826875
653536,90000,104011.6826484375
280078,172000,172673.509921875
1650000,335000,331508.7315
1112715,300000,299319.88831249997
1011128,752000,744819.293625
661177,525000,529934.02
323538,250000,211471.62890625
583472,117000,1009319.201
431346,160000,171803.4979375
1900773,120000,135530.32896875002
831183,174039,175233.7434375
939922,170000,162719.3491875
1863208,300000,291417.8678125
1253951,170000,167160.597328125
895958,485000,476951.2153437501
1162090,531000,531865.5192499999
249911,235000,359038.13034375006
1839458,340000,333967.737875
424279,545000,539519.1205625
751372,455000,445107.85515625
775208,541000,540274.8022500001
35955,530000,507239.59112500004
165032,300000,314726.117625
301031,106300,144932.51390625
675992,700000,699747.8557500001
1649992,881000,371769.97893750004
1421148,232000,223752.80640625002
561354,301500,307939.2785625
1093935,433332,450190.40625
